year,Quarter,name,box_office,rotten_tomatoes,Imbd,category
2012,3,Total Recall,44518362,0.3,0.63,"Action, Adventure, Mystery"
2012,3,The Bourne Legacy,38327492,0.55,0.67,"Action, Adventure, Mystery"
2012,3,Step Up Revolution,82735365,0.42,0.65,"Drama, Music, Romance"
2012,3,The Expendables 2,36067876,0.65,0.67,"Action, Adventure, Thriller"
2012,3,Premium Rush,32997879,0.75,0.65,"Action, Crime, Thriller"
2012,3,Thermae Romae,26355688,0.45,0.64,"Animation, Comedy, Drama, Science Fiction & Fantasy"
2012,3,Resident Evil: Retribution,69958727,0.31,0.54,"Action, Horror, Sci-Fi"
2013,3,PACIFIC RIM,124122838,0.72,0.7,"Action, Adventure, Sci-Fi"
2013,3,ZONE PRO SITE,104092061,0.57,0.66,"Comedy,?rama"
2013,3,DESPICABLE ME 2,69341224,0.74,0.75,"Animation, Comedy, Family"
2013,3,THE CONJURING,50258547,0.86,0.75,Horror
2013,3,ELYSIUM,48746497,0.68,0.67,"Action, Drama, Sci-Fi"
2013,3,THE WOLVERINE,40925764,0.7,0.67,"Action, Adventure, Sci-Fi"
2013,3,THE STOLEN YEARS,34724083,NA,0.61,"Art House & International,?omance"
2013,3,THE WIND RISES (KAZE TACHINU),29397487,0.89,0.78,"Animation, Biography, Drama"
2013,3,WHITE HOUSE DOWN,28627155,0.51,0.64,"Action, Drama, Thriller"
2013,3,Percy Jackson: Sea of Monsters,28250280,0.42,0.59,"Adventure, Family, Fantasy"
2013,3,R.I.P.D.,25146820,0.13,0.56,"Action, Comedy, Sci-Fi"
2013,3,ABOUT TIME,23147072,0.7,0.78,"Drama, Fantasy, Romance"
2013,3,RED 2,21785516,0.42,0.67,"Action, Comedy, Crime"
2013,3,RUSH,20520626,0.89,0.82,"Action, Biography, Drama"
2013,3,WE'RE THE MILLERS,20425791,0.47,0.71,"Action, Adventure, Comedy"
2014,3,KANO,118070040,0.88,0.79,"Art House & International,?rama"
2014,3,Captain America: The Winter Soldier,116234859,0.89,0.78,"Action, Adventure, Sci-Fi"
2014,3,The Wolf of Wall Street,64726208,0.77,0.82,"Biography, Comedy, Crime"
2014,3,Twa Tiu Tiann,57046802,0.17,0.52,"Comedy, Drama, Science Fiction & Fantasy"
2014,3,Robocop,51308711,0.49,0.62,"Action, Sci-Fi, Thriller"
2014,3,Non Stop,42836771,0.59,0.7,"Action & Adventure,?ystery & Suspense"
2014,3,300: Rise of an Empire,39392738,0.42,0.63,"Action, Drama, Fantasy"
2014,3,Jack Ryan: Shadow Recruit,36283778,0.56,0.62,"Action, Thriller"
2014,3,American Hustle,24118337,0.93,0.73,"Crime, Drama"
2014,3,Pompeii,23337913,0.28,0.56,"Action, Adventure, Drama"
2014,3,Need for Speed,20816862,0.22,0.66,"Action, Crime, Drama"
2014,3,Fire Storm,19700628,0.47,0.62,"Action & Adventure,?ystery & Suspense"
2014,3,Lone Survivor,18019083,0.75,0.76,"Action, Biography, Drama"
2014,3,Lego Movie,16383972,0.96,0.78,"Animation, Action, Adventure"
2014,3,"I, Frankenstein",15076565,0.03,0.51,"Action, Fantasy, Sci-Fi"
2015,3,Terminator Genisys,51765169,0.26,0.65,Action & Adventure
2015,3,Gatao,22175063,NA,0.51,Action & Adventure
2015,3, The Minions,113904751,0.56,0.64,"Animation, Comedy, Kids & Family"
2015,3, Ant Man,127735969,0.82,0.73,"Action & Adventure,?omedy,?ystery & Suspense,?cience Fiction & Fantasy"
2015,3,Mission: Impossible Rogue Nation,149491345,0.93,0.74,Action & Adventure
2015,3, Inside Out,70049157,0.98,0.82,"Animation,?ids & Family"
2015,3,Our Times,158731830,NA,0.74," Comedy, Romance"
2015,3, The Man from U.N.C.L.E,34912128,0.66,0.73,"Action & Adventure,?omedy,?ystery & Suspense"
2015,3, To the Fore,29268968,NA,0.63,Drama
2015,3, The Assassin,22280248,0.8,0.63,"Action & Adventure, Art House & International, Drama"
2015,3,The Intern,111531978,0.6,0.71,Comedy
2015,3,The Transporter Refueled,22147811,0.15,0.51,Action & Adventure
2015,3,Maze Runner?Scorch Trials,77762194,0.65,0.63,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
2015,3,Hotel Transylvania 2,19264234,0.56,0.67,Animation
2015,3, Everest,37962064,0.73,0.71,"Action & Adventure, Drama, Mystery & Suspense"
