year,Quarter,name,box_office,rotten_tomatoes,Imbd,category
2014,4,The Hunger Games: Mockingjay - Part 1,70085867,0.65,0.68,"Adventure, Sci-Fi, Thriller"
2014,4,Night at the Museum: Secret of the Tomb,55752889,0.5,0.63,"Adventure, Comedy, Family"
2014,4,The Judge,45911526,0.47,0.74,"Crime, Drama"
2014,4,Dracula: Untold,44554292,0.22,0.63,"Action, Drama, Fantasy"
2014,4,Annabelle,42003835,0.29,0.54,"Horror, Mystery"
2014,4,Exodus: Gods and Kings,41619142,0.27,0.61,"Action, Adventure, Drama"
2014,4,Fury,21574604,0.77,0.76,"Action, Drama, War"
2014,4, The Crossing ,18278925,NA,0.61,Drama?
2014,4,John Wick,17674148,0.85,0.72,"Action, Thriller"
2014,4,Rise of the Legend,15937429,0.67,0.66,"Action & Adventure,?rt House & International,?rama"
2014,4,Black & White: The Dawn of Justice,15033330,NA,0.59,Action
2014,4,Begin Again,13352175,0.93,0.75,"Drama, Music"
2015,4, The Martian,72929414,0.92,0.8,Science Fiction & Fantasy
2015,4,Bridge of Spies,21848441,0.91,0.76,"Drama, Mystery & Suspense"
2015,4,The Last Witch Hunter,23757411,0.71,0.6,"Action & Adventure, Science Fiction & Fantasy"
2015,4,Little Prince,28227918,0.93,0.78,"Animation, Science Fiction & Fantasy"
2015,4, Burnt,21211707,0.29,0.66,Comedy
2015,4,Spectre,73582937,0.63,0.68,Action & Adventure
2015,4,Our Brand Is Crisis,16934086,0.34,0.61,"Comedy, Drama"
2015,4,The Hunger Games: Mockingjay - Part 2,64595194,0.7,0.66,"Action & Adventure, Drama, Science Fiction & Fantasy"
2015,4," In the Heart of the Sea",19466544,0.43,0.69,"Action & Adventure, Drama"
2015,4,Star Wars: The Force Awakens,73150432,0.93,0.81,"Action & Adventure, Science Fiction & Fantasy"
2015,4,Ip Man 3,13394028,0.78,0.71,"Action & Adventure, Art House & International, Drama"
2015,4, Point Break,13800102,0.1,0.53,Action & Adventure
2015,4,Go Lala Go,28621828,NA,0.53," Comedy, Romance "
2015,4,Wansei Back Home,13684407,NA,0.74,?ocumentary
2015,4,The Tag-Along,26018177,NA,0.53,"Art House & International, Horror, Mystery & Suspense"
